Code,Account,Courses Taken,Pass Rate,Number of Audits
Dealer 316,"mosher enterprises inc, dba consolidated solar technologies (cst) albuquerque",25,0,1
Dealer 317,mountain view solar,3,0,1
Dealer 318,moxie solar inc,64,0.46875,32
Dealer 319,jeff periera home energy inc,0,0,20
Dealer 320,mr. solar,1,0,1
Dealer 321,my solar llc,1,0,1
Dealer 322,jit solar llc,0,0,3
Dealer 323,namaster solar,98,0,1
Dealer 324,natural energy,2,0,1
Dealer 325,nb baker electric,15,0,1
Dealer 326,nd burtek energy llc,1,0,1
Dealer 327,nd enlight energy llc,1,0,1
Dealer 328,nd ion solar pros llc,76,1,19
Dealer 329,kapital electric inc,0,0,6
Dealer 330,nd kamtech solar solutions,1,0,1
Dealer 331,nd provoltz,1,0,1
Dealer 332,nd quality home services,2,0,1
Dealer 333,nd savkat inc,1,0,1
Dealer 334,nd solar energy designs,2,0,1
Dealer 335,kuykendall solar corporation,0,0,3
Dealer 336,"nd tkh building service inc, dba revolt solar",2,0,1
Dealer 337,"neil kelly co, dba mr. sun solar",1,0,1
Dealer 338,new england clean energy llc,9,0,1
Dealer 339,new york state solar farm inc,115,0.608695652,23
Dealer 340,next solar inc,32,1,8
Dealer 341,landmark solar,0,0,1
Dealer 342,nextenergy corp,10,0,1
Dealer 343,nm solar group inc,2,0,1
Dealer 344,nogginhaus llc & runnemede phce,6,0,1
Dealer 345,leonard roofing inc,0,0,443
Dealer 346,north shore solar,1,0,1
Dealer 347,northern pacific power systems inc,90,0.6,10
Dealer 348,oak electric,4,0,1
Dealer 349,occidental power,7,0,1
Dealer 350,olympic sun,2,0,1
Dealer 351,one solar,2,0,1
Dealer 352,long island solar solutions,0,0,6
Dealer 353,one world sustainable energy corp,2,0,1
Dealer 354,pacific electric solar,2,0,1
Dealer 355,lucent energy management inc,0,0,1
Dealer 356,pacificsky solar llc,4,0,1
Dealer 357,pavletich electric and communications inc,20,1,4
Dealer 358,peak power solutions,2,0,1
Dealer 359,m+s electric,0,0,9
Dealer 360,peak solar designs llc,2,0,1
Dealer 361,pell solar,4,0,1
Dealer 362,perfect power inc,3,0,1
Dealer 363,permacity corp,7,0,1
Dealer 364,phat energy corporation,5,0,1
Dealer 365,"philip a harris, dba pa harris electric",1,0,1
Dealer 366,phoenix solar specialists llc,2,0,1
Dealer 367,photon brothers,5,0,1
Dealer 368,"pm&m electric inc, dba titan solar power",30,0.8,5
Dealer 369,poco solar energy inc,8,0,1
Dealer 370,"positive energy inc, new mexico",4,0,1
Dealer 371,potere solar,4,0,1
Dealer 372,power production management inc,7,0,1
Dealer 373,power trip energy corp,14,0,1
Dealer 374,powerhouse solar inc,42,0.666666667,6
Dealer 375,precis solar,3204,0.842696629,89
Dealer 376,momentum solar,0,0,11
Dealer 377,prospect solar,2,0,1
Dealer 378,provision solar inc,2,0,1
Dealer 379,provoltz inc,10,0,1
Dealer 380,psr,1,0,1
Dealer 381,mr. roofing inc,0,0,1
Dealer 382,pure energy solar inc,4,0,1
Dealer 383,purepoint energy,50,0.8,5
Dealer 384,pv squared,22,0,1
Dealer 385,myers electric co,0,0,243
Dealer 386,pv technology inc,4,0,1
Dealer 387,quad state solar,1,0,1
Dealer 388,nationwide solar llc,0,0,4
Dealer 389,quality home services,1070,0.794392523,107
Dealer 390,quantum llc,1,0,1
Dealer 391,radiance solar,4,0,1
Dealer 392,rainshadow solar & energy solutions inc,2,0,1
Dealer 393,rayah solar,3,0,1
Dealer 394,"real goods energy tech, dba real goods solar",6,0,1
Dealer 395,redwood city electric,2,0,1
Dealer 396,regional sales manager,2,0,1
Dealer 397,renewable energy electric inc,2,0,1
Dealer 398,renewable power systems llc,5,0,1
Dealer 399,renewable rochester,6,0,1
Dealer 400,"renewergy solutions group llc, dba solar & more",1,0,1
Dealer 401,renova energy corp,2525,0.861386139,101
Dealer 402,renovus energy inc,15,0,1
Dealer 403,renu energy solutions,2,0,1
Dealer 404,restart solar,7,0,1
Dealer 405,revco solar engineering inc,5,0,1
Dealer 406,revision energy inc,4,0,1
Dealer 407,revolusun,39,0.8,5
Dealer 408,revolution solar,2,0,1
Dealer 409,rising sun llc,17,0,1
Dealer 410,roofsimple inc,2,0,1
Dealer 411,ross solar,13,0,1
Dealer 412,rowe electric inc,2,0,1
Dealer 413,rugg's construction,2,0,1
Dealer 414,salt river solar & wind,3,0,1
Dealer 415,salt service inc,5,0,1
Dealer 416,savkat inc,140,0.771428571,35
Dealer 417,scudder solar electrical energy systems,5,0,1
Dealer 418,scurfield solar and heating,44,0.909090909,11
Dealer 419,sea bright solar llc,693,0.743589744,117
Dealer 420,secco inc,4,0,1
Dealer 421,second generation energy llc,15,0.666666667,3
Dealer 422,sel construction,2,0,1
Dealer 423,petersen dean inc,0,0,245
Dealer 424,semper solaris construction inc,10,0,1
Dealer 425,sequoia solar,2,0,1
Dealer 426,shippee solar and construction llc,4,0,1
Dealer 427,sierra roofing & solar,1,0,1
Dealer 428,simmitri inc,2,0,1
Dealer 429,"plug it in systems, dba plug it in solar",0,0,8
Dealer 430,simple solar systems,9,0,1
Dealer 431,sky engineering,6,0,1
Dealer 432,sky power systems,8,1,2
Dealer 433,sky solar energy inc,10,0.7,10
Dealer 434,skyway electric,1,0,1
Dealer 435,power on solar,0,0,27
Dealer 436,slingshot power,8,0,1
Dealer 437,smart energy solar inc,3,0,1
Dealer 438,smart home remodeling inc,2,0,1
Dealer 439,smart solar llc,3,0,1
Dealer 440,sol reliable inc,1,0,1
Dealer 441,premier renewables llc,0,0,2
Dealer 442,solaire energy systems systems,4,0,1
Dealer 443,solar alliance of america inc,2,0,1
Dealer 444,"solar communities, dba suncommon suncommon",12,0,1
Dealer 445,solar distributors inc. inc,2,0,1
Dealer 446,prvl energy,0,0,1
Dealer 447,solar energy designs inc. inc,1,0,1
Dealer 448,solar energy exchange inc,2,0,1
Dealer 449,solar energy partners llc,4,0,1
Dealer 450,solar energy solutions inc,2,0,1
Dealer 451,solar energy solutions llc,3,0,1
Dealer 452,solar energy systems,1,0,1
Dealer 453,solar energy world,2,0,1
Dealer 454,solar five llc,250,0.48,25
Dealer 455,solar forward,20,0.5,2
Dealer 456,solar generation,1,0,1
Dealer 457,solar greenergy,1,0,1
Dealer 458,solar holmes,2,0,1
Dealer 459,solar hut llc,18,0.5,2
Dealer 460,solar ki,2,0,1
Dealer 461,reficiency llc,0,0,5
Dealer 462,solar liberty energy systems,4,0,1
Dealer 463,solar lights inc,1,0,1
Dealer 464,solar maximum llc,3,0,1
Dealer 465,solar mite solutions llc,18,0.785714286,14
Dealer 466,solar panel solutions inc,1,0,1
Dealer 467,solar plus llc,2,0,2
Dealer 468,solar solution,2,0,1
Dealer 469,solar solutions 4u inc,10,0.2,5
Dealer 470,solar system inc,1,0,1
Dealer 471,solar tec systems inc,2,0,1
Dealer 472,rethink electric llc,0,0,49
Dealer 473,solar technologies,340,0.705882353,17
Dealer 474,solar topps,14,0,1
Dealer 475,solar unlimited,5,0,1
Dealer 476,solar vast,21,0.714285714,7
Dealer 477,solar wave,1,0,1
Dealer 478,solar works ca,10,0,1
Dealer 479,solar wrights inc,8,0,1
Dealer 480,solarcraft,5,0,1
Dealer 481,solardelphia,8,0,1
Dealer 482,solar-fit,4,0,1
Dealer 483,solarmax renewable energy provider inc,2,0,1
Dealer 484,solaron,3,0,1
Dealer 485,solarone energy group llc,60,0.6,15
Dealer 486,solarponics,2,0,1
Dealer 487,solartech,132,0.696969697,66
Dealer 488,solartistry,1,0,1
Dealer 489,solforce systems inc,3,0,1
Dealer 490,sol-tek industries,12,0,1
Dealer 491,sonic solar energy,2,0,1
Dealer 492,south coast solar,100,0.75,4
Dealer 493,south mountain company,8,0,1
Dealer 494,south sound solar,4,0,1
Dealer 495,southard solar & construction,3,0,1
Dealer 496,southern energy management,19,0,1
Dealer 497,"southwest sustainable energy llc, dba border solar",4,0,1
Dealer 498,standard solar inc,20,0,1
Dealer 499,star installations inc,2,0,1
Dealer 500,stellar solar electric,2030,0.75862069,58
Dealer 501,skyline solar llc,0,0,21
Dealer 502,straight up solar,2,0,1
Dealer 503,streamline solar power systems llc,275,0.727272727,11
Dealer 504,stroops accurate refrigerations inc,2,0,1
Dealer 505,sullivan solar power,10,0,1
Dealer 506,smart home energy source llc,0,0,6
Dealer 507,summerwind solar llc,6,0,2
Dealer 508,sun farm ventures,1,0,1
Dealer 509,sun first! Inc,135,0.6,15
Dealer 510,solar dad and sons inc,0,0,1
Dealer 511,solar me,0,0,1
Dealer 512,solar star llc,0,0,114
Dealer 513,solar wolf energy,0,0,19
Dealer 514,solarjuice american inc,0,0,3
Dealer 515,solarm inc,0,0,6
Dealer 516,solectric,0,0,4
Dealer 517,sonray construction,0,0,241
Dealer 518,SPD Self Installation (Berkeley),0,0,406
Dealer 519,SPD Self Installation (Chicago),0,0,124
Dealer 520,SPD Self Installation (Fresno),0,0,34
Dealer 521,SPD Self Installation (New Jersey),0,0,232
Dealer 522,SPD Self Installation (New York),0,0,97
Dealer 523,SPD Self Installation (North L.A.),0,0,878
Dealer 524,SPD Self Installation (Ontario),0,0,539
Dealer 525,SPD Self Installation (Orlando),0,0,45
Dealer 526,SPD Self Installation (Phoenix),0,0,260
Dealer 527,SPD Self Installation (Sacramento),0,0,335
Dealer 528,SPD Self Installation (San Diego),0,0,284
Dealer 529,SPD Self Installation (San Jose),0,0,242
Dealer 530,state solar initiative,0,0,5
Dealer 531,summit solar ip,0,0,11
Dealer 532,summit solar solutions,0,0,8
Dealer 533,sun light & power,2,1,1
Dealer 534,sun metrics corporation,3,0,1
Dealer 535,sun pacific solar electric inc,4,1,1
Dealer 536,sun solar,3927,0.732620321,374
Dealer 537,"sun source, dba lighthouse solar",2,0,1
Dealer 538,sun up zero down llc,0,0,3
Dealer 539,sun valley solar inc,465,0.666666667,15
Dealer 540,sunation solar systems inc,14,0,1
Dealer 541,sunbelt solar energy,4,0,1
Dealer 542,sunblue energy,1,0,1
Dealer 543,sunbug solar llc,6,0,1
Dealer 544,suncraft solar,2,0,1
Dealer 545,sundance power systems,2,1,1
Dealer 546,sundial solar innovations llc,0,0,1
Dealer 547,sundial solar llc,0,0,6
Dealer 548,sunergy systems,6,0,1
Dealer 549,sunetric,45,0,1
Dealer 550,sunfiniti of wisconsin,2,0,1
Dealer 551,sunharvest solar,2,0,1
Dealer 552,sunlectric inc,2,0,1
Dealer 553,sunlight solar energy inc,9,0,2
Dealer 554,sunlight solar systems,1,0,1
Dealer 555,sunmade energy inc,4,0.9,20
Dealer 556,sunnymac,1080,0.577777778,45
Dealer 557,sunon energy,4,0.5,2
Dealer 558,sunpower applications and technical support,83,0,1
Dealer 559,sunpro solar,88,0.818181818,11
Dealer 560,sunrise solar inc,4,1,2
Dealer 561,sunrise solar solutions inc,20,0.8,5
Dealer 562,suns up solar,1,0,1
Dealer 563,sunsational solar electric,2,0,1
Dealer 564,sunsense inc,8,0,1
Dealer 565,sunshine pacific group america inc,10,1,2
Dealer 566,sunspear energy llc,2,0,1
Dealer 567,sunstore solar,5,0,1
Dealer 568,sunsystem technology inc,0,0,211
Dealer 569,suntalk solar,1,0,1
Dealer 570,suntime energy builders,21,0,1
Dealer 571,suntuity,4,0,1
Dealer 572,sunworks inc,6,1,1
Dealer 573,sunworks solar systems inc,5,0,1
Dealer 574,sustainable future,2,0,1
Dealer 575,swan solar,3,0,1
Dealer 576,swg energy,8,0,1
Dealer 577,switch electric llc,1,0,1
Dealer 578,synergy 768 inc,22,0.692307692,13
Dealer 579,synergy smart homes llc,0,0,9
Dealer 580,t&g roofing company inc,3,0,1
Dealer 581,"taitem engineering, pc",7,0,1
Dealer 582,tayco electric and solar inc,6,0,1
Dealer 583,technicians for sustainability,13,0,1
Dealer 584,terrasol energies inc,4,0,1
Dealer 585,the boston solar company,6,1,1
Dealer 586,the crew solar llc,0,0,3
Dealer 587,the energy savings store,2,0,1
Dealer 588,the energy shop inc,2,0,1
Dealer 589,the entech group,3,0,1
Dealer 590,the solar company,54,0,1
Dealer 591,the solar quote llc,93,0.741935484,31
Dealer 592,third sun solar,3,0,1
Dealer 593,thompson and son energy,16,0.5,4
Dealer 594,thor electric,0,0,10
Dealer 595,titan solar construction,6,0,1
Dealer 596,todays energy store llc,152,0.921052632,38
Dealer 597,training support group,15,0,1
Dealer 598,treepublic inc,4,0,1
Dealer 599,"trinity construction enterprises inc, dba trinity power",26,0.769230769,13
Dealer 600,triple line solar,2,0,1
Dealer 601,true power solar,90,0.8,15
Dealer 602,true south solar inc,4,0,1
Dealer 603,tsp solutions,4,0,1
